======================================================================
  FILMN9 — DCF 밸류에이션용 애널리스트 리포트 다운로드 체크리스트
  전체 634개  (코어 443 / 확장 191)
  사용법: PDF 받으면 [ ] -> [O] 로 표시
======================================================================

■ 코어 (시총 5천억+) — 443개  ★최우선
----------------------------------------------------------------------
[ ] 261. 티엘비  (356860)  | KOSDAQ | 시총 11,091억
[ ] 262. 삼아알미늄  (006110)  | KOSPI | 시총 11,010억
[ ] 263. 피엔티  (137400)  | KOSDAQ GLOBAL | 시총 11,004억
[ ] 264. 종근당  (185750)  | KOSPI | 시총 10,959억
[ ] 265. 대웅  (003090)  | KOSPI | 시총 10,954억
[ ] 266. OCI  (456040)  | KOSPI | 시총 10,877억
[ ] 267. 태광산업  (003240)  | KOSPI | 시총 10,789억
[ ] 268. 비나텍  (126340)  | KOSDAQ | 시총 10,644억
[ ] 269. 한일시멘트  (300720)  | KOSPI | 시총 10,642억
[ ] 270. SK오션플랜트  (100090)  | KOSPI | 시총 10,628억
[ ] 271. 본시스템즈  (496320)  | KONEX | 시총 10,393억
[ ] 272. 롯데웰푸드  (280360)  | KOSPI | 시총 10,392억
[ ] 273. 비에이치  (090460)  | KOSPI | 시총 10,333억
[ ] 274. 큐리언트  (115180)  | KOSDAQ | 시총 10,315억
[ ] 275. 씨엠티엑스  (388210)  | KOSDAQ | 시총 10,253억
[ ] 276. 경동나비엔  (009450)  | KOSPI | 시총 10,213억
[ ] 277. 아이티센글로벌  (124500)  | KOSDAQ | 시총 10,175억
[ ] 278. 필옵틱스  (161580)  | KOSDAQ | 시총 10,139억
[ ] 279. 롯데칠성  (005300)  | KOSPI | 시총 10,114억
[ ] 280. 유일로보틱스  (388720)  | KOSDAQ | 시총 9,991억
[ ] 281. 에스티큐브  (052020)  | KOSDAQ | 시총 9,919억
[ ] 282. GST  (083450)  | KOSDAQ | 시총 9,915억
[ ] 283. 쏠리드  (050890)  | KOSDAQ | 시총 9,721억
[ ] 284. 현대홈쇼핑  (057050)  | KOSPI | 시총 9,720억
[ ] 285. 덕산네오룩스  (213420)  | KOSDAQ GLOBAL | 시총 9,647억
[ ] 286. 지투지바이오  (456160)  | KOSDAQ | 시총 9,629억
[ ] 287. 에스에프에이  (056190)  | KOSDAQ GLOBAL | 시총 9,588억
[ ] 288. 솔루엠  (248070)  | KOSPI | 시총 9,563억
[ ] 289. 영풍  (000670)  | KOSPI | 시총 9,518억
[ ] 290. 제룡전기  (033100)  | KOSDAQ | 시총 9,477억
[ ] 291. HS효성첨단소재  (298050)  | KOSPI | 시총 9,430억
[ ] 292. 코미코  (183300)  | KOSDAQ GLOBAL | 시총 9,415억
[ ] 293. 에스디바이오센서  (137310)  | KOSPI | 시총 9,394억
[ ] 294. 씨아이에스  (222080)  | KOSDAQ GLOBAL | 시총 9,380억
[ ] 295. 대원전선  (006340)  | KOSPI | 시총 9,363억
[ ] 296. 지아이이노베이션  (358570)  | KOSDAQ | 시총 9,306억
[ ] 297. 하이젠알앤엠  (160190)  | KOSDAQ | 시총 9,174억
[ ] 298. 로보스타  (090360)  | KOSDAQ | 시총 9,165억
[ ] 299. 파미셀  (005690)  | KOSPI | 시총 9,001억
[ ] 300. 동국제약  (086450)  | KOSDAQ GLOBAL | 시총 8,897억
[ ] 301. 전진건설로봇  (079900)  | KOSPI | 시총 8,785억
[ ] 302. 로킷헬스케어  (376900)  | KOSDAQ | 시총 8,699억
[ ] 303. 아이에스동서  (010780)  | KOSPI | 시총 8,694억
[ ] 304. CJ ENM  (035760)  | KOSDAQ GLOBAL | 시총 8,673억
[ ] 305. 온코닉테라퓨틱스  (476060)  | KOSDAQ | 시총 8,650억
[ ] 306. 원익QnC  (074600)  | KOSDAQ GLOBAL | 시총 8,649억
[ ] 307. 피노  (033790)  | KOSDAQ | 시총 8,645억
[ ] 308. 자화전자  (033240)  | KOSPI | 시총 8,567억
[ ] 309. LX세미콘  (108320)  | KOSPI | 시총 8,555억
[ ] 310. 카카오게임즈  (293490)  | KOSDAQ GLOBAL | 시총 8,530억
[ ] 311. 세진중공업  (075580)  | KOSPI | 시총 8,488억
[ ] 312. 대한유화  (006650)  | KOSPI | 시총 8,340억
[ ] 313. 와이지엔터테인먼트  (122870)  | KOSDAQ | 시총 8,336억
[ ] 314. 지역난방공사  (071320)  | KOSPI | 시총 8,279억
[ ] 315. NICE평가정보  (030190)  | KOSPI | 시총 8,236억
[ ] 316. 노타  (486990)  | KOSDAQ | 시총 8,218억
[ ] 317. 솔루스첨단소재  (336370)  | KOSPI | 시총 8,208억
[ ] 318. 동운아나텍  (094170)  | KOSDAQ | 시총 8,207억
[ ] 319. 나노신소재  (121600)  | KOSDAQ | 시총 8,185억
[ ] 320. 성광벤드  (014620)  | KOSDAQ | 시총 8,180억
[ ] 321. 태광  (023160)  | KOSDAQ | 시총 8,148억
[ ] 322. 코나아이  (052400)  | KOSDAQ | 시총 8,068억
[ ] 323. 선익시스템  (171090)  | KOSDAQ | 시총 8,052억
[ ] 324. 이노션  (214320)  | KOSPI | 시총 7,980억
[ ] 325. 한국단자  (025540)  | KOSPI | 시총 7,971억
[ ] 326. 스튜디오드래곤  (253450)  | KOSDAQ GLOBAL | 시총 7,950억
[ ] 327. SNT모티브  (064960)  | KOSPI | 시총 7,936억
[ ] 328. SNT에너지  (100840)  | KOSPI | 시총 7,890억
[ ] 329. 성일하이텍  (365340)  | KOSDAQ | 시총 7,882억
[ ] 330. 디아이  (003160)  | KOSPI | 시총 7,882억
[ ] 331. 네패스  (033640)  | KOSDAQ | 시총 7,829억
[ ] 332. 샘씨엔에스  (252990)  | KOSDAQ | 시총 7,798억
[ ] 333. 세방전지  (004490)  | KOSPI | 시총 7,762억
[ ] 334. 보령  (003850)  | KOSPI | 시총 7,738억
[ ] 335. 유진로봇  (056080)  | KOSDAQ | 시총 7,709억
[ ] 336. 다우데이타  (032190)  | KOSDAQ | 시총 7,698억
[ ] 337. 엔켐  (348370)  | KOSDAQ | 시총 7,691억
[ ] 338. 코스메카코리아  (241710)  | KOSDAQ | 시총 7,626억
[ ] 339. CJ CGV  (079160)  | KOSPI | 시총 7,551억
[ ] 340. 서울반도체  (046890)  | KOSDAQ GLOBAL | 시총 7,516억
[ ] 341. 앱클론  (174900)  | KOSDAQ | 시총 7,492억
[ ] 342. SK케미칼  (285130)  | KOSPI | 시총 7,464억
[ ] 343. 삼지전자  (037460)  | KOSDAQ | 시총 7,392억
[ ] 344. PI첨단소재  (178920)  | KOSPI | 시총 7,342억
[ ] 345. 태웅  (044490)  | KOSDAQ | 시총 7,333억
[ ] 346. 대한해운  (005880)  | KOSPI | 시총 7,262억
[ ] 347. 한샘  (009240)  | KOSPI | 시총 7,248억
[ ] 348. SGC에너지  (005090)  | KOSPI | 시총 7,197억
[ ] 349. 원텍  (336570)  | KOSDAQ | 시총 7,184억
[ ] 350. 엑스게이트  (356680)  | KOSDAQ | 시총 7,136억
[ ] 351. 넥스틴  (348210)  | KOSDAQ GLOBAL | 시총 7,062억
[ ] 352. 프로텍  (053610)  | KOSDAQ | 시총 7,047억
[ ] 353. 메디톡스  (086900)  | KOSDAQ | 시총 7,036억
[ ] 354. 넥슨게임즈  (225570)  | KOSDAQ | 시총 6,942억
[ ] 355. 서부T&D  (006730)  | KOSDAQ | 시총 6,928억
[ ] 356. 가온칩스  (399720)  | KOSDAQ | 시총 6,926억
[ ] 357. 포스코엠텍  (009520)  | KOSDAQ GLOBAL | 시총 6,925억
[ ] 358. KG모빌리티  (003620)  | KOSPI | 시총 6,891억
